Team,Day,Round,Tasting Date,Competition,CompetitionCode,flightcode,WineNodeID,Priority,winename,producer,appellation,vintage,price,SubmitterCompanyName,SubmitterTelephone,SubmitterWebsite,BottleSize,ResidualSugar,SweetnessLevel,WineClassName,CompetitionCategoryName,CountryName,WineType,WineColour
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_000,31576,0,Skylark Brut Blush Cuve Close,Chet And Waveney Valley Vineyard,Norfolk,2018,12,Chet and Waveney Valley Vineyard,01508 333002,https://www.chetvineyard.co.uk/,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_001,30280,1,Charmat Rosé,Flint Vineyard,Norfolk,2018,14.3,Flint & Vine Limited,1986893942,www.flintvineyard.com,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_002,31575,2,Horatio Pink Sparkling Wine,Chet And Waveney Valley Vineyard,Norfolk,2016,14.5,Chet and Waveney Valley Vineyard,01508 333002,https://www.chetvineyard.co.uk/,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_003,31034,3,Fitz Pink Sparkling Wine,Fitz,Sussex,NV,16.7,Bibendum Wine,7885709315,,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_004,31476,4,Ashling Park Rosé,Ashling Park Estate,Sussex,2014,17.62,Ashling Park Estate,00 44 1243 576482,www.ashlingpark.co.uk,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_011,28995,11,"Greyfriars, Rosé",Greyfriars,Surrey,NV,18.41,Greyfriars Vineyard,01483 813712,www.greyfriarsvineyard.co.uk,,<10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_005,28270,5,Wyfold Vineyard Rosé 2015,Wyfold Vineyard,Oxfordshire,2015,18.5,Wyfold,07920 115019,wyfoldvineyard.com,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_016,29369,16,"Camel Valley, Pinot Noir, Brut Rosé",Camel Valley,Cornwall,2018,19.73,camel valley ltd,120877959,www.camelvalley.com,,>10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_012,28537,12,"The Grange, Hampshire - Pink",Grange Estate Wines Llp,Hampshire,NV,20,Grange Estate Wines LLP,1962779668,www.thegrangewine.co.uk,,<10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_006,29675,6,Oastbrook Sparkling Rose,Oastbrook Estate Limited,East Sussex,2015,21,OASTBROOK ESTATE LIMITED,7808890428,www.oastbrook.com,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
