Competition,CompetitionCode,flightcode,WineNodeID,Priority,winename,producer,appellation,vintage,price,SubmitterCompanyName,SubmitterTelephone,SubmitterWebsite,EssentialsWineStyle,EssentialsWineType,BottleSize,ResidualSugar,NewWorldWineColour,NewWorldVarietal,OldWorldCountry,OldWorldWineColour,SweetnessLevel,WineClassName,CompetitionCategoryName,CountryName,CategoryNodeID,TastingTeams1,WineType,WineColour,Medal
2020,HW-R,2020_HW-R_001,29774,1,"Vistamar, Brisa, Merlot",Vina Vistamar,Central Valley,2019,3.9,Kingsland Drinks,0161 386 8409,www.kingsland-drinks.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Chile,37,53|52|51,Still,Red,Out
2020,HW-R,2020_HW-R_002,30600,2,"Proudly Vegan, Merlot",Broadland Drinks,Central Valley,2019,3.98,Broadland Drinks Ltd,1603872474,,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Chile,37,53|52|51,Still,Red,Gold
2020,HW-R,2020_HW-R_003,29787,3,"Matinal, Merlot",Fray Leon,Central Valley,2018,4,Kingsland Drinks,0161 386 8409,www.kingsland-drinks.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Chile,37,53|52|51,Still,Red,Commended
2020,HW-R,2020_HW-R_004,31512,4,Mundo De Yuntero,Bodegas Yuntero,La Mancha,2017,4.52,Barwell and Jones,7960111635,www.barwellandjones.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Spain,37,53|52|51,Still,Red,Out
2020,HW-R,2020_HW-R_005,31417,5,"Fontana d'Italia, Sangiovese",Botter,Rubicone,2019,4.6,WX,7557738828,www.wxbrands.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Italy,37,53|52|51,Still,Red,Bronze
2020,HW-R,2020_HW-R_006,30239,6,"El Molturo, Tempranillo/Garnacha",WX Brands,Multi-Regional,2019,4.79,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Spain,37,53|52|51,Still,Red,Commended
2020,HW-R,2020_HW-R_007,31001,7,Fonte Do Nico Vinho Tinto,Pegoes,Setúbal,2019,4.97, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Portugal,37,53|52|51,Still,Red,Out
2020,HW-R,2020_HW-R_008,30330,8,"Acantus, Tinto",Casa del Valle,Castilla,2018,5,Bodegas y Viñedos Casa del Valle,0034 9 41 23 52 99,www.grupobodegasolarra.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Spain,37,53|52|51,Still,Red,Bronze
2020,HW-R,2020_HW-R_009,29814,9,"Sea Change, Merlot",Botter,Veneto,2019,5,10 International Ltd,01372 454910,www.10international.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Italy,37,53|52|51,Still,Red,Commended
2020,HW-R,2020_HW-R_010,30238,10,"Wx Brands, Marques De Calado, Tempranillo",Wx Brands,Castilla,2019,5.05,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Spain,37,53|52|51,Still,Red,Out
2020,HW-R,2020_HW-R_011,29157,11,Bajoz Old Vines Tinta De Toro Garnacha,Pagos Del Rey,Toro,2018,5.07,Felix Solis Avantis S.A.,1227478300,felixsolisavantis.com,Still,House Wine – £6 & under (ex VAT),NULL,NULL,NULL,NULL,NULL,NULL,NULL,Essentials,House Red - £6 & under (ex VAT) ,Spain,37,53|52|51,Still,Red,Out
